zip,borough,neighborhood,,,zip,borough,neighborhood
7302,New Jersey,Jersey City,,,7302,New Jersey,Jersey City
7302,New Jersey,Jersey City,,,7304,New Jersey,Jersey City
7304,New Jersey,Jersey City,,,7305,New Jersey,Jersey City
7305,New Jersey,Jersey City,,,7306,New Jersey,Jersey City
7306,New Jersey,Jersey City,,,7307,New Jersey,Jersey City
7306,New Jersey,Jersey City,,,7310,New Jersey,Jersey City
7307,New Jersey,Jersey City,,,10001,Manhattan,Chelsea and Clinton
7310,New Jersey,Jersey City,,,10002,Manhattan,Lower East Side
10001,Manhattan,Chelsea and Clinton,,,10003,Manhattan,Lower East Side
10002,Manhattan,Lower East Side,,,10004,Manhattan,Lower Manhattan
10003,Manhattan,Lower East Side,,,10005,Manhattan,Lower Manhattan
10004,Manhattan,Lower Manhattan,,,10006,Manhattan,Lower Manhattan
10005,Manhattan,Lower Manhattan,,,10007,Manhattan,Lower Manhattan
10006,Manhattan,Lower Manhattan,,,10009,Manhattan,Lower East Side
10007,Manhattan,Lower Manhattan,,,10010,Manhattan,Gramercy Park and Murray Hill
10009,Manhattan,Lower East Side,,,10011,Manhattan,Chelsea and Clinton
10010,Manhattan,Gramercy Park and Murray Hill,,,10012,Manhattan,Greenwich Village and Soho
10011,Manhattan,Chelsea and Clinton,,,10013,Manhattan,Greenwich Village and Soho
10012,Manhattan,Greenwich Village and Soho,,,10014,Manhattan,Greenwich Village and Soho
10013,Manhattan,Greenwich Village and Soho,,,10016,Manhattan,Gramercy Park and Murray Hill
10014,Manhattan,Greenwich Village and Soho,,,10017,Manhattan,Gramercy Park and Murray Hill
10016,Manhattan,Gramercy Park and Murray Hill,,,10018,Manhattan,Chelsea and Clinton
10017,Manhattan,Gramercy Park and Murray Hill,,,10019,Manhattan,Chelsea and Clinton
10018,Manhattan,Chelsea and Clinton,,,10020,Manhattan,Chelsea and Clinton
10019,Manhattan,Chelsea and Clinton,,,10021,Manhattan,Upper East Side
10020,Manhattan,Chelsea and Clinton,,,10022,Manhattan,Gramercy Park and Murray Hill
10021,Manhattan,Upper East Side,,,10023,Manhattan,Upper West Side
10022,Manhattan,Gramercy Park and Murray Hill,,,10024,Manhattan,Upper West Side
10023,Manhattan,Upper West Side,,,10025,Manhattan,Upper West Side
10024,Manhattan,Upper West Side,,,10026,Manhattan,Central Harlem
10025,Manhattan,Upper West Side,,,10027,Manhattan,Central Harlem
10026,Manhattan,Central Harlem,,,10028,Manhattan,Upper East Side
10027,Manhattan,Central Harlem,,,10029,Manhattan,East Harlem
10028,Manhattan,Upper East Side,,,10030,Manhattan,Central Harlem
10029,Manhattan,East Harlem,,,10031,Manhattan,Inwood and Washington Heights
10030,Manhattan,Central Harlem,,,10032,Manhattan,Inwood and Washington Heights
10031,Manhattan,Inwood and Washington Heights,,,10033,Manhattan,Inwood and Washington Heights
10032,Manhattan,Inwood and Washington Heights,,,10034,Manhattan,Inwood and Washington Heights
10033,Manhattan,Inwood and Washington Heights,,,10035,Manhattan,East Harlem
10034,Manhattan,Inwood and Washington Heights,,,10036,Manhattan,Chelsea and Clinton
10035,Manhattan,East Harlem,,,10037,Manhattan,Central Harlem
10036,Manhattan,Chelsea and Clinton,,,10038,Manhattan,Lower Manhattan
10037,Manhattan,Central Harlem,,,10039,Manhattan,Central Harlem
10038,Manhattan,Lower Manhattan,,,10040,Manhattan,Inwood and Washington Heights
